# vim: set tabstop=15:

nominative	państwo	państwa
genitive	państwa	państw
dative	państwu	państwom
accusative	państwo	państwa
instrumental	państwem	państwami
locative	państwie	państwach
vocative	państwo	państwa

53	man	chicken
nominative	kurczak	kurczaki
genitive	kurczaka	kurczaków
dative	kurczakowi	kurczakom
accusative	kurczaka	kurczaki
instrumental	kurczakiem	kurczakami
locative	kurczaku	kurczakach
vocative	kurczaku	kurczaki

54	minan	rain, shower
nominative	deszcz	deszcze
genitive	deszczu	deszczy
dative	deszczowi	deszczom
accusative	deszcz	deszcze
instrumental	deszczem	deszczami
locative	deszczu	deszczach
vocative	deszczu	deszcze

55	f	road, path
nominative	droga	drogi
genitive	drogi	dróg
dative	drodze	drogom
accusative	drogę	drogi
instrumental	drogą	drogami
locative	drodze	drogach
vocative	drogo	drogi

56	n	crossroads, fork in the road (a place where a road diverges)
nominative	rozdroże	rozdroża
genitive	rozdroża	rozdroży
dative	rozdrożu	rozdrożom
accusative	rozdroże	rozdroża
instrumental	rozdrożem	rozdrożami
locative	rozdrożu	rozdrożach
vocative	rozdroże	rozdroża

57	f	journey, travel, trip
nominative	podróż	podróże
genitive	podróży	podróży
dative	podróży	podróżom
accusative	podróż	podróże
instrumental	podróżą	podróżami
locative	podróży	podróżach
vocative	podróży	podróże

58	minan	break (device), inhibition
nominative	hamulec	hamulce
genitive	hamulca	hamulców
dative	hamulcowi	hamulcom
accusative	hamulec	hamulce
instrumental	hamulcem	hamulcami
locative	hamulcu	hamulcach
vocative	hamulcu	hamulce

59	mpers	musician (masculine)
nominative	muzyk	muzycy
genitive	muzyka	muzyków
dative	muzykowi	muzykom
accusative	muzyka	muzyków
instrumental	muzykiem	muzykami
locative	muzyku	muzykach
vocative	muzyku	muzycy

60	f	novel (work of prose fiction)
nominative	powieść	powieści
genitive	powieści	powieści
dative	powieści	powieściom
accusative	powieść	powieści
instrumental	powieścią	powieściami
locative	powieści	powieściach
vocative	powieści	powieści

61	minan	proof, piece of evidence
nominative	dowód	dowody
genitive	dowodu	dowodów
dative	dowodowi	dowodom
accusative	dowód	dowody
instrumental	dowodem	dowodami
locative	dowodzie	dowodach
vocative	dowodzie	dowody

62	minan	reason, cause
nominative	powód	powody
genitive	powodu	powodów
dative	powodowi	powodom
accusative	powód	powody
instrumental	powodem	powodami
locative	powodzie	powodach
vocative	powodzie	powody

63	mpers	plaintiff (masculine)
nominative	powód	powodowie
genitive	powoda	powodów
dative	powodowi	powodom
accusative	powoda	powodów
instrumental	powodem	powodami
locative	powodzie	powodach
vocative	powodzie	powodowie

64	f	plaintiff (feminine)
nominative	powódka	powódki
genitive	powódki	powódek
dative	powódce	powódkom
accusative	powódkę	powódki
instrumental	powódką	powódkami
locative	powódce	powódkach
vocative	powódko	powódki

65	n	apple
nominative	jabłko	jabłka
genitive	jabłka	jabłek
dative	jabłku	jabłkom
accusative	jabłko	jabłka
instrumental	jabłkiem	jabłkami
locative	jabłku	jabłkach
vocative	jabłko	jabłka

66	f	orange
nominative	pomarańcza	pomarańcze
genitive	pomarańczy	pomarańczy
dative	pomarańczy	pomarańczom
accusative	pomarańczę	pomarańcze
instrumental	pomarańczą	pomarańczami
locative	pomarańczy	pomarańczach
vocative	pomarańczo	pomarańcze

67	f	magyar (nő)
nominative	Węgierka	Węgierki
genitive	Węgierki	Węgierek
dative	Węgierce	Węgierkom
accusative	Węgierkę	Węgierki
instrumental	Węgierką	Węgierkami
locative	Węgierce	Węgierkach
vocative	Węgierko	Węgierki

68	mpers	magyar (férfi)
nominative	Węgier	Węgrzy
genitive	Węgra	Węgrów
dative	Węgrowi	Węgrom
accusative	Węgra	Węgrów
instrumental	Węgrem	Węgrami
locative	Węgrze	Węgrach
vocative	Węgrze	Węgrzy

69	nvirpl	Hungary	x
nominative	Węgry
genitive	Węgier
dative	Węgrom
accusative	Węgry
instrumental	Węgrami
locative	Węgrzech
vocative	Węgry

70	f	weapon
nominative	broń	bronie
genitive	broni	broni
dative	broni	broniom
accusative	broń	bronie
instrumental	bronią	broniami
locative	broni	broniach
vocative	broni	bronie

71	n	name; given name	x
nominative	imię	imiona
genitive	imienia	imion
dative	imieniu	imionom
accusative	imię	imiona
instrumental	imieniem	imionami
locative	imieniu	imionach
vocative	imię	imiona

72	minan	end, finish
nominative	koniec	końce
genitive	końca	końców
dative	końcowi	końcom
accusative	koniec	końce
instrumental	końcem	końcami
locative	końcu	końcach
vocative	końcu	końce

73	minan	day, daytime	x
nominative	dzień	dni
genitive	dnia	dni
dative	dniowi	dniom
accusative	dzień	dni
instrumental	dniem	dniami
locative	dniu	dniach
vocative	dniu	dni

74	n	bottom (the lowest part of a container)
nominative	dno	dna
genitive	dna	den
dative	dnu	dnom
accusative	dno	dna
instrumental	dnem	dnami
locative	dnie	dnach
vocative	dno	dna

75	nvirpl	door	x
nominative	drzwi
genitive	drzwi
dative	drzwiom
accusative	drzwi
instrumental	drzwiami
locative	drzwiach
vocative	drzwi

76	minan	shoe
nominative	but	buty
genitive	buta	butów
dative	butowi	butom
accusative	but	buty
instrumental	butem	butami
locative	bucie	butach
vocative	bucie	buty

77	f	foot
nominative	stopa	stopy
genitive	stopy	stóp
dative	stopie	stopom
accusative	stopę	stopy
instrumental	stopą	stopami
locative	stopie	stopach
vocative	stopo	stopy

78	f	heel (of foot or shoe or sock)
nominative	pięta	pięty
genitive	pięty	pięt
dative	pięcie	piętom
accusative	piętę	pięty
instrumental	piętą	piętami
locative	pięcie	piętach
vocative	pięto	pięty

79	f	sole (bottom of a shoe or foot)
nominative	podeszwa	podeszwy
genitive	podeszwy	podeszew
dative	podeszwie	podeszwom
accusative	podeszwę	podeszwy
instrumental	podeszwą	podeszwami
locative	podeszwie	podeszwach
vocative	podeszwo	podeszwy

80	minan	heel (specifically of shoe)
nominative	obcas	obcasy
genitive	obcasu	obcasów
dative	obcasowi	obcasom
accusative	obcas	obcasy
instrumental	obcasem	obcasami
locative	obcasie	obcasach
vocative	obcasie	obcasy

81	f	music
nominative	muzyka
genitive	muzyki
dative	muzyce
accusative	muzykę
instrumental	muzyką
locative	muzyce
vocative	muzyko

82	f	rightness, righteousness, fairness, point
nominative	racja	racje
genitive	racji	racji
dative	racji	racjom
accusative	rację	racje
instrumental	racją	racjami
locative	racji	racjach
vocative	racjo	racje

83	f	hope
nominative	nadzieja	nadzieje
genitive	nadziei	nadziei
dative	nadziei	nadziejom
accusative	nadzieję	nadzieje
instrumental	nadzieją	nadziejami
locative	nadziei	nadziejach
vocative	nadziejo	nadzieje

84	mpers	Christian priest	x
nominative	ksiądz	księża
genitive	księdza	księży
dative	księdzu	księżom
accusative	księdza	księży
instrumental	księdzem	księżmi
locative	księdzu	księżach
vocative	księże	księża

85	minan	moon
nominative	księżyc	księżyce
genitive	księżyca	księżyców
dative	księżycowi	księżycom
accusative	księżyc	księżyce
instrumental	księżycem	księżycami
locative	księżycu	księżycach
vocative	księżycu	księżyce

86	mpers	prince, duke	x
nominative	książę	książęta
genitive	księcia	książąt
dative	księciu	książętom
accusative	księcia	książąt
instrumental	księciem	książętami
locative	księciu	książętach
vocative	książę	książęta

87	f	princess, duchess	x
nominative	księżna	księżne
genitive	księżnej	księżnych
dative	księżnej	księżnym
accusative	księżną	księżne
instrumental	księżną	księżnymi
locative	księżnej	księżnych
vocative	księżno	księżne

88	n	eye	x
nominative	oko	oczy
genitive	oka	oczu
dative	oku	oczom
accusative	oko	oczy
instrumental	okiem	oczami
locative	oku	oczach
vocative	oko	oczy

89	mpers	father
nominative	ojciec	ojcowie
genitive	ojca	ojców
dative	ojcu	ojcom
accusative	ojca	ojców
instrumental	ojcem	ojcami
locative	ojcu	ojcach
vocative	ojcze	ojcowie

90	minan	baptism
nominative	chrzest	chrzty
genitive	chrztu	chrztów
dative	chrztowi	chrztom
accusative	chrzest	chrzty
instrumental	chrztem	chrztami
locative	chrzcie	chrztach
vocative	chrzcie	chrzty

91	f	bath, bathing
nominative	kąpiel	kąpiele
genitive	kąpieli	kąpieli
dative	kąpieli	kąpielom
accusative	kąpiel	kąpiele
instrumental	kąpielą	kąpielami
locative	kąpieli	kąpielach
vocative	kąpieli	kąpiele

92	n	recording, felvétel (video, sound)
nominative	nagranie	nagrania
genitive	nagrania	nagrań
dative	nagraniu	nagraniom
accusative	nagranie	nagrania
instrumental	nagraniem	nagraniami
locative	nagraniu	nagraniach
vocative	nagranie	nagrania

93	minan	intention
nominative	zamiar	zamiary
genitive	zamiaru	zamiarów
dative	zamiarowi	zamiarom
accusative	zamiar	zamiary
instrumental	zamiarem	zamiarami
locative	zamiarze	zamiarach
vocative	zamiarze	zamiary

94	minan	stockpile, reserve
nominative	zapas	zapasy
genitive	zapasu	zapasów
dative	zapasowi	zapasom
accusative	zapas	zapasy
instrumental	zapasem	zapasami
locative	zapasie	zapasach
vocative	zapasie	zapasy

95	mpers	son
nominative	syn	synowie
genitive	syna	synów
dative	synowi	synom
accusative	syna	synów
instrumental	synem	synami
locative	synu	synach
vocative	synu	synowie

96	n	dream (hope, whish)
nominative	marzenie	marzenia
genitive	marzenia	marzeń
dative	marzeniu	marzeniom
accusative	marzenie	marzenia
instrumental	marzeniem	marzeniami
locative	marzeniu	marzeniach
vocative	marzenie	marzenia

97	minan	dream (imaginary events seen while sleeping)
nominative	sen	sny
genitive	snu	snów
dative	snowi	snom
accusative	sen	sny
instrumental	snem	snami
locative	śnie	snach
vocative	śnie	sny

98	n	achievement, elérés, odanyúlás
